PaymentID;CustomerId;ProductId;TransactionDate;CreditCard;CreditCardNumber;Name;Username;Phone;Price;CompanyName;errorMessage
3423612;371;10114;30-01-2013;amex;3797 2886 9038 850;Mcintyre Erick;erimcintyre5798;(701) 198-4889;;;Price!=null failed
3423616;147;10220;29-01-2013;visa;4104 5004 0613 0704;Huffman Jose;josehuffman8976;(989) 561-4531;;;Price!=null failed
3423617;589;10208;03-01-2013;visa;4327 9730 5076 2398;Boyle Frederick;fredericboyl9614;(615) 926-0371;;;Price!=null failed
3423618;967;10031;08-01-2013;maestro;6762 0929 7745 1311;Steele Shiloh;shilste1353;(917) 980-9263;;;Price!=null failed
3423620;907;10336;01-01-2013;instapayment;6390 0420 4417 0287;Jackson Nahla;nahlajac1350;(937) 622-5291;;;Price!=null failed
3423626;932;10028;03-01-2013;mastercard;5579 1178 8636 3045;Burke Kiersten;kierstebu4482;(901) 147-8379;;;Price!=null failed
3423637;75;10242;12-01-2013;amex;3433 0651 8105 843;Haynes Serena;serenahay4549;(941) 514-1207;;;Price!=null failed
3423648;354;10348;01-01-2013;instapayment;6375 1520 0942 4782;Lewis Ahmad;ahmlewis6483;(253) 158-9428;;;Price!=null failed
3423653;629;10182;22-01-2013;maestro;6763 6097 0151 3832;Parks Leila;leilapar8080;(309) 897-6138;;;Price!=null failed
3423654;837;10114;04-01-2013;visaelectron;4175 0003 9667 5127;Stark Tatum;tatumsta4237;(762) 668-9915;;;Price!=null failed
3423655;698;10015;03-01-2013;instapayment;6392 2665 3043 3655;Foreman Courtney;courforem2856;(864) 808-9404;;;Price!=null failed
3423659;969;10079;29-01-2013;mastercard;5576 8599 4095 8376;Carroll Claire;clairecarrol8330;(228) 507-9355;;;Price!=null failed
3423661;991;10220;08-01-2013;instapayment;6395 5475 8359 0773;Hampton Ryder;rydhampton7037;(618) 767-8502;;;Price!=null failed
3423665;9;10126;30-01-2013;mastercard;5226 2076 7678 1154;Horne Tori;tohorne2545;(845) 179-3191;;;Price!=null failed
3423667;131;10231;10-01-2013;instapayment;6379 1552 9783 8494;Pollard Catalina;catapoll6746;(773) 434-0999;;;Price!=null failed
3423670;105;10110;12-01-2013;visaelectron;4844 5278 9957 2345;Tanner Messiah;messitann7423;(503) 949-1579;;;Price!=null failed
3423675;840;10242;19-01-2013;visa;4222 6534 8041 8946;Strickland Seamus;seastrickl6273;(956) 516-8992;;;Price!=null failed
3423679;265;10276;23-01-2013;amex;3767 5080 4206 395;Thornton Justus;justusthornt5468;(509) 248-1196;;;Price!=null failed
3423680;115;10015;19-01-2013;maestro;5020 0609 3398 4659;Alexander Francesca;francealexand3294;(623) 233-2251;;;Price!=null failed
3423691;965;10317;09-01-2013;visaelectron;4917 6622 1056 3236;Barnett Jack;jabarnet4121;(567) 880-9110;;;Price!=null failed
3423692;105;10079;18-01-2013;visa;4584 6571 8523 8998;Tanner Messiah;messitann7423;(503) 949-1579;;;Price!=null failed
3423697;53;10300;04-01-2013;visaelectron;4844 6037 2099 9682;Acevedo Dominick;domiaceve6023;(224) 199-6968;;;Price!=null failed
3423698;344;10093;26-01-2013;maestro;5018 8128 3448 1761;Knowles Conor;conknowl4386;(912) 703-5958;;;Price!=null failed
3423702;803;10071;25-01-2013;amex;3434 9345 8947 135;Oneal Keenan;keeon5908;(608) 285-6017;;;Price!=null failed
3423712;477;10340;24-01-2013;maestro;5893 0603 9691 1029;Ruiz Timothy;timotru7958;(225) 295-5127;;;Price!=null failed
3423716;26;10077;09-01-2013;mastercard;5324 3044 2247 7814;Griffith Hank;hangriffit9196;(757) 105-1273;;;Price!=null failed
3423718;398;10040;22-01-2013;mastercard;5211 2664 2618 8323;Tyson Claudia;claudtyson1724;(732) 190-8375;;;Price!=null failed
3423725;518;10207;04-01-2013;instapayment;6374 6042 4021 6022;Mclaughlin London;lonmclaughlin1410;(810) 980-4747;;;Price!=null failed
3423726;433;10191;24-01-2013;maestro;5893 7718 8332 4886;Patel Kellen;kelpa2613;(507) 315-8809;;;Price!=null failed
3423729;581;10345;05-01-2013;visaelectron;4913 1696 5942 6986;Armstrong Jordan;jordanarms2587;(207) 562-9280;;;Price!=null failed
3423730;64;10126;21-01-2013;mastercard;5488 1764 1874 9345;Melton Noe;noemel7747;(340) 721-1138;;;Price!=null failed
3423735;795;10030;17-01-2013;visa;4782 8966 0536 6985;Graves Jaden;jadegrav5839;(801) 697-5186;;;Price!=null failed
3423740;165;10157;17-01-2013;amex;3488 5359 6977 762;Yates Carlie;carliya6134;(878) 442-5764;;;Price!=null failed
3423742;330;10035;27-01-2013;instapayment;6395 4930 1944 0186;Simmons Marisol;marissimmon9839;(973) 326-5682;;;Price!=null failed
3423747;329;10090;25-01-2013;maestro;6761 6212 3098 8759;Carr Davon;davoncarr1000;(501) 998-9035;;;Price!=null failed
3423763;793;10022;06-01-2013;amex;3717 6496 4455 952;Cooke Jimena;jimenco5436;(805) 682-8410;;;Price!=null failed
3423764;670;10216;24-01-2013;maestro;5893 5625 8445 1536;Rodriguez Rebekah;rebrodrig2078;(671) 450-2996;;;Price!=null failed
3423765;192;10094;26-01-2013;visaelectron;4175 0016 9159 7297;Walker Houston;houstowalker2941;(513) 321-3759;;;Price!=null failed
3423768;12;10059;06-01-2013;maestro;5018 5049 4119 1363;Hickman Jamal;jamahickman7369;(507) 690-4322;;;Price!=null failed
3423770;459;10167;27-01-2013;visaelectron;4844 1795 7830 7476;Sosa Seamus;seamusos9674;(954) 977-6713;;;Price!=null failed
3423773;258;10257;24-01-2013;mastercard;5133 2764 7821 5481;Parks Kendyl;kendypark8808;(940) 290-3223;;;Price!=null failed
3423774;256;10030;08-01-2013;instapayment;6370 1579 6070 8367;Rosales Morgan;morganros5254;(917) 975-7417;;;Price!=null failed
3423778;280;10174;02-01-2013;amex;3706 2277 2478 528;Martin Maximilian;maximimartin1846;(515) 846-1255;;;Price!=null failed
3423781;948;10320;04-01-2013;maestro;6759 4324 2888 6282;Bruce Jada;jadbr3885;(940) 491-5852;;;Price!=null failed
3423785;64;10231;09-01-2013;visaelectron;4508 2008 5371 3191;Melton Noe;noemel7747;(340) 721-1138;;;Price!=null failed
3423786;844;10243;20-01-2013;mastercard;5161 0222 1468 2419;Garcia Layton;laytogarci6909;(947) 669-3284;;;Price!=null failed
3423790;462;10348;02-01-2013;visaelectron;4844 1915 8481 9428;Head Tristian;tristihe9637;(507) 241-8351;;;Price!=null failed
3423799;446;10300;03-01-2013;instapayment;6392 0609 4824 2422;Hodge Joyce;joycho5349;(907) 862-9343;;;Price!=null failed
3423803;799;10289;17-01-2013;amex;3412 7595 1935 341;Burks Malik;malbu2654;(432) 487-6426;;;Price!=null failed
